,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
1358,6.467,8.3,0.5,4.767,2035.0,0.08,0.105,800000000.0,-0.036,-0.017,-0.05,0.117,0.139,-0.028,0.1,-0.01,900000000000.0,4150000000.0,930000000.0,6650000000.0,8000000000.0,3700000000.0,2800000000.0,6600000000.0,1740000000.0,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,4.7,6.367,0.5,0.7,2035.0,0.07,0.105,400000000.0,-0.008,0.05,-0.117,0.117,0.106,0.05,0.017,-0.083,400000000000.0,4580000000.0,2820000000.0,4270000000.0,12500000000.0,1000000000.0,3200000000.0,3800000000.0,2120000000.0,4000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,4.7,8.3,8.5,6.8,2035.0,0.08,0.105,600000000.0,-0.202,0.0,0.15,0.117,0.15,0.017,0.05,-0.108,400000000000.0,5870000000.0,3450000000.0,10220000000.0,18500000000.0,1900000000.0,3200000000.0,5200000000.0,2120000000.0,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,4.7,4.433,12.5,4.767,2030.0,0.08,0.17,900000000.0,-0.147,0.017,0.083,0.05,0.128,-0.028,0.033,-0.108,1000000000000.0,5870000000.0,5970000000.0,4270000000.0,12500000000.0,6400000000.0,3600000000.0,9400000000.0,1360000000.0,16000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,4.7,4.433,8.5,4.767,2030.0,0.07,0.04,400000000.0,-0.091,0.083,0.017,0.15,0.106,0.028,0.067,-0.181,1000000000000.0,2860000000.0,5970000000.0,4270000000.0,6500000000.0,8200000000.0,2600000000.0,1000000000.0,790000000.0,12000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,4.7,6.367,0.5,0.7,2035.0,0.07,0.17,900000000.0,-0.147,0.1,0.117,0.15,0.106,0.05,0.05,-0.181,700000000000.0,4580000000.0,5340000000.0,11410000000.0,8000000000.0,3700000000.0,3200000000.0,8000000000.0,2310000000.0,8000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,8.233,4.433,8.5,4.767,2030.0,0.08,0.105,300000000.0,0.02,0.017,0.017,0.083,0.139,0.017,-0.017,-0.108,900000000000.0,4580000000.0,4080000000.0,1890000000.0,6500000000.0,8200000000.0,2200000000.0,9400000000.0,1550000000.0,12000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,8.233,6.367,12.5,6.8,2035.0,0.08,0.17,1000000000.0,-0.202,0.083,-0.017,0.083,0.094,-0.028,0.0,-0.01,1000000000000.0,5440000000.0,1560000000.0,3080000000.0,8000000000.0,1900000000.0,2200000000.0,2400000000.0,2310000000.0,20000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,10.0,4.433,0.5,6.8,2030.0,0.08,0.105,1000000000.0,-0.036,0.067,0.117,0.117,0.072,-0.017,-0.05,-0.23,600000000000.0,5870000000.0,300000000.0,5460000000.0,14000000000.0,4600000000.0,2600000000.0,12200000000.0,1170000000.0,16000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,10.0,2.5,8.5,2.733,2040.0,0.07,0.105,800000000.0,-0.008,-0.017,-0.117,0.083,0.117,0.017,0.0,-0.059,1100000000000.0,3720000000.0,1560000000.0,9030000000.0,9500000000.0,3700000000.0,2200000000.0,9400000000.0,980000000.0,12000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
