future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
0,4.7,2.5,0.5,0.7,2030,0.07,0.04,200000000,-0.23,-0.05,-0.15,0.05,0.05,-0.05,-0.05,-0.23,4E+11,2000000000,300000000,700000000,5000000000,1000000000,2000000000,1000000000,600000000,4000000000,1,4E+11,8.24458E+12,2000000000,300000000,1820000,4000000000,1,2000000000,698252498.3,600000000,163200000,1.01444E+11,72996.56111,954.7788902,356.94669,0,20000000,599999999,0,0,0,0,0,0,20000000,599999999,299500000,3999990000,0,0,0,0,20000000,599999999,299500000,3999990000,1999999999,698252497,0,27300000,1.5E+11,33000000010,10507500000,1.725E+11,20000000010,13965049975,10
1,4.7,8.3,12.5,4.767,2045,0.08,0.17,1000000000,-0.23,-0.033,0.017,0.094,0.083,-0.028,0.033,-0.034,1.1E+12,5440000000,1560000000,700000000,15500000000,1900000000,2400000000,1000000000,2310000000,20000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,8.3,0.5,2.733,2045,0.08,0.17,600000000,-0.23,0.083,0.017,0.139,0.106,-0.05,-0.017,-0.083,5E+11,3290000000,5340000000,5460000000,17000000000,2800000000,3200000000,5200000000,2120000000,4000000000,1,5E+11,6.61591E+12,3290000000,5340000000,1820000,4000000000,1,1,1,2120000000,286400000,2E+11,93682.41264,3494.754099,1002.641691,0,311979178,2119999999,0,0,0,0,0,0,1131979178,2119999999,0,2189106287,0,0,0,0,1310000000,2119999999,5339500000,3999990000,0,0,0,27300000,1.93679E+11,1.166E+11,90907499990,98786032856,10,10,10
3,6.467,2.5,4.5,6.8,2030,0.07,0.17,400000000,-0.202,0.1,-0.083,0.117,0.05,-0.028,0,-0.01,1E+12,2430000000,3450000000,10220000000,12500000000,2800000000,3000000000,1000000000,1170000000,12000000000,1,1E+12,2.03094E+13,2430000000,3450000000,1790210782,11586721516,1,3000000000,1000000000,1170000000,400000000,4.76157E+11,127463.8414,4238.116188,1408.204117,1788390782,450000000,1169999999,3449500000,1407605013,0,0,0,1788390782,450000000,1169999999,3449500000,8977965587,0,285220082,0,1788390782,450000000,1169999999,3449500000,11586711516,2999999999,999999999,0,66363880893,1.822E+11,87750000010,2.25507E+11,3.70805E+11,49521632721,17852200842,10
4,10,6.367,12.5,2.733,2030,0.07,0.04,600000000,-0.063,0.017,-0.05,0.061,0.094,-0.05,0.083,-0.23,9E+11,4580000000,930000000,10220000000,15500000000,6400000000,3000000000,10800000000,1550000000,12000000000,1,9E+11,1.41777E+13,4400000000,930000000,6178927054,7617934938,1,1,10800000000,1550000000,588919305.3,5.28479E+11,200831.0484,2311.182218,996.8226941,0,1599999999,0,0,0,0,0,0,1795041992,2419999999,1549999999,929500000,3917914896,0,7618313598,0,6177107054,2420000000,1549999999,929500000,7617924938,0,10799999999,0,1.14196E+11,2.794E+11,62000000010,23257500000,1.53964E+11,10,2.67183E+11,10
5,6.467,8.3,8.5,2.733,2045,0.07,0.04,1000000000,-0.23,0.033,-0.017,0.083,0.106,-0.05,0.1,-0.108,7E+11,5440000000,3450000000,3080000000,18500000000,1000000000,2800000000,10800000000,600000000,16000000000,1,7E+11,1.0034E+13,4400000000,3450000000,3080000000,6986049858,1,1,10800000000,600000000,471719089.2,3.73476E+11,159578.2801,1903.832308,840.9494969,0,1200000000,599999999,0,0,0,0,0,152651592,2020000000,599999999,949500000,3385041422,0,0,0,3078180000,2420000000,599999999,3449500000,6986039858,0,10799999999,0,61044373874,2.574E+11,36000000010,73757500000,1.30798E+11,10,1.41E+11,10
6,4.7,8.3,12.5,6.8,2045,0.07,0.04,400000000,-0.202,-0.017,0.15,0.128,0.061,-0.05,0.033,-0.206,4E+11,4150000000,2190000000,4270000000,8000000000,2800000000,2600000000,5200000000,1360000000,8000000000,1,4E+11,5.17712E+12,4080551999,500000,3000000001,6012825728,1,1,1,1360000000,400000000,1.41301E+11,118655.2084,1470.517732,590.893122,0,0,0,0,0,0,0,0,1011005729,500551999,1359999999,0,2499989999,0,0,0,2998180001,2100551999,1359999999,0,6012815728,0,0,0,60027300020,1.7383E+11,47600000010,7500000,1.18535E+11,10,10,10
7,8.233,6.367,0.5,2.733,2050,0.07,0.04,400000000,-0.008,0.05,-0.017,0.139,0.072,-0.017,-0.033,-0.034,9E+11,4150000000,5970000000,11410000000,17000000000,6400000000,3600000000,8000000000,1170000000,12000000000,1,9E+11,1.54496E+13,3579999999,5970000000,5267617330,6991193840,1,3600000000,234754281.5,1170000000,400000000,3E+11,212206.1282,4685.875422,1750.093882,0,1599999999,1169999999,0,160140061,0,0,0,4222060867,1599999999,1169999999,5969500000,1737440866,0,0,0,5265797330,1599999999,1169999999,5969500000,6991183840,3599999999,234754281,0,1.77269E+11,2.28354E+11,87750000010,2.16607E+11,1.13324E+11,72000000010,4695085641,10
8,4.7,2.5,12.5,4.767,2040,0.07,0.04,200000000,-0.091,-0.033,-0.05,0.05,0.106,-0.006,-0.033,-0.108,7E+11,4580000000,4080000000,3080000000,15500000000,6400000000,2000000000,10800000000,1550000000,4000000000,1,7E+11,1.29314E+13,2857142857,4080000000,1820000,4000000000,1,2000000000,6481050297,1550000000,200000000,3.73476E+11,93367.88789,3465.148303,1014.072899,0,877142857,1549999999,0,0,0,0,0,0,877142857,1549999999,4005285518,3999990000,0,0,0,0,877142857,1549999999,4079500000,3999990000,1999999999,6481050296,0,27300000,1.925E+11,1.085E+11,1.09165E+11,1.42402E+11,25189923022,1.22216E+11,10
9,6.467,6.367,12.5,2.733,2050,0.07,0.17,1000000000,-0.036,0.017,0.083,0.094,0.139,-0.028,0.05,-0.108,1E+12,3720000000,4080000000,700000000,5000000000,1000000000,2000000000,3800000000,600000000,12000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.7,2.5,4.5,2.733,2050,0.08,0.105,400000000,0.02,0,-0.117,0.15,0.083,-0.05,-0.017,-0.059,1.1E+12,5870000000,3450000000,11410000000,14000000000,4600000000,3000000000,5200000000,1930000000,8000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,2.5,0.5,4.767,2030,0.09,0.105,200000000,-0.091,0,0.117,0.117,0.106,-0.028,-0.05,-0.083,8E+11,4150000000,5970000000,700000000,15500000000,8200000000,3200000000,12200000000,790000000,8000000000,1,8E+11,1.46944E+13,2222222222,5970000000,547648814.7,8000000000,1,3200000000,1682041602,790000000,200000000,4.48091E+11,78752.45254,3461.574526,1123.881272,464655772,242222222,789999999,0,910298161,0,0,0,545828815,242222222,789999999,5969500000,6000000001,0,0,0,545828815,242222222,789999999,5969500000,7999990000,3199999999,1682041601,0,10980276293,1.48189E+11,59250000010,2.40254E+11,2.43686E+11,64000000010,33640832054,10
12,6.467,4.433,0.5,4.767,2035,0.07,0.105,1000000000,-0.091,0.1,-0.05,0.083,0.139,0.006,0.033,-0.23,1E+12,4150000000,2190000000,9030000000,17000000000,4600000000,3000000000,9400000000,980000000,20000000000,1,1E+12,1.6374E+13,4150000000,2190000000,6347318031,8592384988,1,3000000000,9400000000,980000000,1000000000,4.90545E+11,237011.3989,2531.87115,1219.965487,0,1599999999,0,0,494431791,0,0,0,4050362969,2170000000,979999999,2189500000,7005548209,0,0,0,6345498031,2170000000,979999999,2189500000,8592374988,2999999999,9399999999,0,1.81718E+11,2.7315E+11,39200000010,76657500000,2.60592E+11,60000000010,1.08683E+11,10
13,8.233,6.367,0.5,0.7,2035,0.09,0.105,600000000,-0.036,0.017,-0.017,0.072,0.061,0.05,-0.05,-0.23,1E+12,2000000000,5970000000,5460000000,6500000000,2800000000,3600000000,1000000000,1170000000,4000000000,1,1E+12,2.55641E+13,2000000000,5970000000,3572749906,4000000000,1,3600000000,1000000000,1170000000,459901778.7,1.7716E+11,131949.865,5053.193976,1709.842014,3570929906,20000000,1169999999,5969500000,427240094,3599999999,0,0,3570929906,20000000,1169999999,5969500000,3999990000,3599999999,0,0,3570929906,20000000,1169999999,5969500000,3999990000,3599999999,999999999,0,1.02676E+11,1.502E+11,83599818910,3.20708E+11,1.42817E+11,1.8E+11,20000000010,10
14,10,8.3,0.5,0.7,2030,0.07,0.105,200000000,-0.202,0.1,-0.083,0.094,0.072,0.05,-0.033,-0.059,7E+11,5010000000,4080000000,6650000000,9500000000,8200000000,3000000000,1000000000,600000000,4000000000,1,7E+11,1.2987E+13,2857142857,4080000000,1820000,4000000000,1,3000000000,1000000000,600000000,200000000,2.11E+11,95538.94921,2612.576632,911.4768698,0,877142857,599999999,0,910298161,0,0,0,0,877142857,599999999,4079500000,3999990000,2999999999,0,0,0,877142857,599999999,4079500000,3999990000,2999999999,999999999,0,27300000,1.96886E+11,45000000010,1.75051E+11,1.58036E+11,1.05E+11,20000000010,10
15,6.467,2.5,12.5,2.733,2030,0.08,0.04,800000000,-0.147,0.017,0.083,0.15,0.128,0.039,0.033,-0.01,1E+12,5010000000,5340000000,6650000000,14000000000,9100000000,3800000000,2400000000,1740000000,20000000000,1,1E+12,1.19655E+13,4400000000,4999999999,6650000000,12500000000,1,1463921124,2400000000,1740000000,690500000,5.28479E+11,227142.8514,3688.589317,1440.48305,0,800000000,1519999998,0,0,0,0,0,4998179999,1620000000,1739999999,0,9277872277,0,0,0,6648180000,2420000000,1739999999,4999499999,12499990000,1463921123,2399999999,0,1.95527E+11,2.354E+11,92399999995,72120966705,3.56947E+11,11604526360,36000000010,10
16,4.7,4.433,0.5,0.7,2030,0.09,0.04,300000000,-0.119,0.067,0.083,0.083,0.128,-0.039,-0.017,-0.157,6E+11,5010000000,4080000000,7840000000,18500000000,2800000000,2800000000,13600000000,2120000000,12000000000,1,6E+11,7.94954E+12,2560000000,4080000000,434217195.9,12000000000,1,1,1,2120000000,300000000,2.82E+11,81857.85974,2618.786523,760.0712161,0,0,759999998,0,0,0,0,0,432397196,552747466,2119999999,0,6928272804,0,0,0,432397196,580000000,2119999999,4079500000,11999990000,0,0,0,8711643919,1.56974E+11,92400000000,48707500000,2.93207E+11,10,10,10
17,10,4.433,8.5,2.733,2030,0.09,0.17,700000000,-0.091,0.017,0.083,0.117,0.15,0.006,0.1,-0.157,4E+11,2000000000,1560000000,700000000,8000000000,1000000000,3400000000,12200000000,790000000,16000000000,1,4E+11,5.29242E+12,2000000000,500000,700000000,8000000000,1,1,9511458305,790000000,345400000,5.28479E+11,66283.81135,869.0088902,324.77669,0,0,0,0,0,0,0,0,0,0,789999999,0,2999990000,0,0,0,698180000,20000000,789999999,0,7999990000,0,9511458304,0,14027300000,1.194E+11,31600000010,7500000,1.64851E+11,10,70114583057,10
18,10,2.5,0.5,2.733,2035,0.07,0.04,800000000,-0.23,0.033,-0.017,0.117,0.061,-0.017,0.05,-0.23,4E+11,4150000000,5340000000,3080000000,8000000000,3700000000,3000000000,13600000000,1170000000,20000000000,1,4E+11,5.37648E+12,4150000000,500000,828364503.8,8000000000,1,1,1,1170000000,370034580.2,4E+11,101807.3179,766.8607375,379.9651023,0,0,0,0,0,0,0,0,0,820000000,0,0,3500000001,0,0,0,826544504,2170000000,1169999999,0,7999990000,0,0,0,16594590076,1.9015E+11,23400000010,7500000,1.69848E+11,10,10,10
19,10,4.433,8.5,0.7,2030,0.07,0.17,200000000,-0.091,0.017,-0.117,0.094,0.128,-0.028,0.1,-0.132,8E+11,4150000000,5340000000,9030000000,15500000000,6400000000,3600000000,12200000000,980000000,8000000000,1,8E+11,1.15702E+13,2296239608,5340000000,1820000,8000000000,1,1,12200000000,980000000,200000000,4.427E+11,81255.13447,2363.562678,764.8065978,0,296239608,979999999,0,0,0,0,0,0,316239608,979999999,1854773309,5650000001,0,4999999998,0,0,316239608,979999999,5339500000,7999990000,0,12199999999,0,27300000,1.66665E+11,58800000010,1.1116E+11,2.05348E+11,10,2.58E+11,10
20,10,2.5,8.5,2.733,2050,0.07,0.17,300000000,-0.063,-0.033,0.017,0.083,0.117,0.017,0.017,-0.108,1E+12,5010000000,2820000000,4270000000,11000000000,2800000000,2200000000,13600000000,1550000000,20000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6.467,4.433,0.5,2.733,2035,0.09,0.04,400000000,-0.147,0.05,-0.15,0.094,0.117,-0.017,-0.017,-0.206,1E+12,5010000000,300000000,4270000000,15500000000,5500000000,2800000000,2400000000,600000000,4000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4.7,8.3,12.5,0.7,2035,0.08,0.105,1000000000,-0.147,0.067,0.05,0.05,0.083,0.028,0.05,-0.132,7E+11,2000000000,300000000,10220000000,14000000000,1900000000,2600000000,9400000000,1170000000,4000000000,1,7E+11,1.12863E+13,2000000000,300000000,4000000000,10000,1,2600000000,9400000000,1170000000,580000000,1.954E+11,159834.7163,2577.26499,978.5194149,0,20000000,1169999999,0,0,0,0,0,3998180000,20000000,1169999999,299500000,0,0,9399999999,0,3998180000,20000000,1169999999,299500000,0,2599999999,9399999999,0,1.52527E+11,1.499E+11,78065049980,7507500000,150000,52000000010,2.6E+11,10
23,6.467,2.5,8.5,0.7,2040,0.08,0.04,700000000,-0.036,0.05,-0.117,0.15,0.094,0.028,0.083,-0.01,7E+11,4580000000,4710000000,9030000000,17000000000,2800000000,3600000000,8000000000,980000000,20000000000,1,7E+11,8.73943E+12,4400000000,4710000000,1820000,12500000000,1,151716955,8000000000,980000000,424500000,4.38635E+11,112331.8868,1894.097597,680.7018988,0,719018314,979999999,0,0,0,0,0,0,1539018314,979999999,0,4990408315,0,0,0,0,2420000000,979999999,4709500000,12499990000,151716954,7999999999,0,27300000,2.30946E+11,53900000010,59607500014,2.49761E+11,758584784.9,1.05E+11,10
24,8.233,8.3,8.5,2.733,2045,0.08,0.04,1000000000,0.02,-0.017,-0.017,0.117,0.106,0.017,0.033,-0.01,7E+11,2430000000,5340000000,4270000000,15500000000,8200000000,3200000000,5200000000,1930000000,8000000000,1,7E+11,1.00697E+13,2430000000,5340000000,4270000000,5500000000,1,1788482599,5200000000,1930000000,385237726.1,3.73476E+11,134269.4872,3698.87139,1217.87669,0,450000000,1139999998,0,0,0,0,0,1768180000,450000000,1929999999,2499500000,2658941197,0,0,0,4268180000,450000000,1929999999,5339500000,5499990000,1788482598,5199999999,0,85427300000,1.7595E+11,99999999990,1.17608E+11,1.11663E+11,17016852007,92335410874,10
25,8.233,4.433,8.5,4.767,2035,0.08,0.17,500000000,-0.008,0.067,-0.117,0.072,0.106,0.028,-0.017,-0.157,1E+12,5440000000,1560000000,3080000000,15500000000,4600000000,3400000000,8000000000,1740000000,12000000000,1,1E+12,2.50245E+13,4400000000,1560000000,1958446212,6023455822,1,1221400907,8000000000,1740000000,500000000,4.90545E+11,178938.362,4424.576285,1452.48415,1956626212,1599999999,1739999999,1559500000,160140062,258709949,632168904,0,1956626212,2419999999,1739999999,1559500000,870749456,258709949,7999999999,0,1956626212,2420000000,1739999999,1559500000,6023445822,1221400906,7999999999,0,76443089395,2.794E+11,1.305E+11,1.17005E+11,1.00915E+11,11753042654,2.83984E+11,10
26,6.467,2.5,8.5,4.767,2045,0.07,0.04,600000000,-0.036,0.067,-0.05,0.061,0.128,-0.006,0.017,-0.059,5E+11,2430000000,930000000,1890000000,9500000000,7300000000,2400000000,5200000000,980000000,8000000000,1,5E+11,7.72427E+12,2430000000,930000000,1890000000,6110000000,1,1222754639,5200000000,980000000,281138000,3.73476E+11,106764.0311,1921.35139,665.78169,0,430000000,979999999,0,0,0,0,0,0,450000000,979999999,929500000,3239089610,0,0,0,1888180000,450000000,979999999,929500000,6109990000,1222754638,5199999999,0,37827300000,1.7535E+11,63700000010,23257500000,1.40189E+11,6113773204,53562691039,10
27,10,6.367,8.5,4.767,2045,0.08,0.04,700000000,-0.202,0.083,-0.05,0.117,0.15,-0.017,0,-0.23,6E+11,4580000000,3450000000,11410000000,14000000000,8200000000,2400000000,13600000000,1550000000,8000000000,1,6E+11,8.98063E+12,4400000000,3450000000,3135767687,6333744288,1,1,2382583781,1550000000,505643254.9,3.73476E+11,160458.6413,2483.134911,962.7046805,0,1200000000,0,0,0,0,0,0,1467691974,2020000000,1549999999,949500000,2189106288,0,0,0,3133947687,2420000000,1549999999,3449500000,6333734288,0,2382583780,0,62742653731,2.574E+11,62000000010,73757500000,1.20274E+11,10,23825837822,10
28,6.467,4.433,0.5,6.8,2030,0.08,0.04,500000000,-0.091,-0.033,-0.083,0.061,0.072,-0.05,0.05,-0.181,8E+11,5010000000,4710000000,10220000000,17000000000,3700000000,2800000000,10800000000,1930000000,12000000000,1,8E+11,1.17412E+13,4400000000,4710000000,414181658.5,11585818342,1,1,6902606886,1930000000,435765012.7,5.28479E+11,129966.825,3085.158513,990.9258629,0,1199999999,1929999999,0,0,0,0,0,0,2019999999,1929999999,0,7499989999,0,0,0,412361658,2420000000,1929999999,4709500000,11585808342,0,6902606885,0,8310933170,2.574E+11,96500000010,83157500000,2.86287E+11,10,68344141753,10
29,4.7,8.3,4.5,2.733,2050,0.09,0.105,400000000,-0.091,0.05,-0.017,0.061,0.072,-0.017,0.1,-0.059,6E+11,2430000000,930000000,1890000000,12500000000,1000000000,3600000000,10800000000,1170000000,20000000000,1,6E+11,9.23871E+12,2430000000,930000000,1604031199,5859261122,1,654471054.3,10800000000,1170000000,400000000,3E+11,115632.9718,2388.222363,791.3139514,0,450000000,1169999999,0,0,0,0,0,1602211199,450000000,1169999999,929500000,2220114855,0,1415957131,0,1602211199,450000000,1169999999,929500000,5859251122,654471053,10799999999,0,53153107612,1.7595E+11,81900000010,23257500000,79394634033,3272355282,1.83072E+11,10
30,4.7,6.367,0.5,6.8,2035,0.07,0.105,200000000,-0.119,0.1,-0.017,0.128,0.106,-0.017,0.1,-0.206,7E+11,4580000000,5970000000,4270000000,11000000000,8200000000,3000000000,13600000000,1550000000,16000000000,1,7E+11,9.05635E+12,1980000000,5970000000,1820000,11000000000,1,1,10000000000,1550000000,200000000,4.90545E+11,67834.44804,2235.838845,688.3368144,0,0,0,0,0,0,0,0,0,0,1549999999,0,9366589485,0,0,0,0,0,1549999999,5969500000,10999990000,0,9999999999,0,27300000,1.37771E+11,62000000010,90346170398,3.32332E+11,10,77522961307,10
31,6.467,4.433,0.5,4.767,2035,0.09,0.17,800000000,-0.008,-0.017,0.05,0.083,0.15,0.028,0.05,-0.108,7E+11,2000000000,5340000000,3080000000,11000000000,1000000000,3400000000,12200000000,600000000,20000000000,1,7E+11,9.8279E+12,2000000000,5340000000,3080000000,11000000000,1,3400000000,8123577536,600000000,767400000,4.90545E+11,111910.2887,1903.914623,762.4211208,0,0,599999999,0,0,0,0,0,592266811,20000000,599999999,0,6777872276,0,0,0,3078180000,20000000,599999999,5339500000,10999990000,3399999999,8123577535,0,67568168110,1.494E+11,33000000010,90907500000,2.65156E+11,34000000010,59967875670,10
32,8.233,8.3,0.5,0.7,2035,0.07,0.04,700000000,-0.091,0.05,0.05,0.05,0.083,0.028,-0.033,-0.23,9E+11,2000000000,5340000000,4270000000,8000000000,2800000000,2600000000,1000000000,600000000,8000000000,1,9E+11,1.84013E+13,2000000000,5340000000,4270000000,3730000000,1,2600000000,1000000000,600000000,332434000,1.63545E+11,202609.6327,3601.797837,1533.111465,4268180000,20000000,599999999,0,0,1999999999,0,0,4268180000,20000000,599999999,5339500000,3729990000,2599999999,0,0,4268180000,20000000,599999999,5339500000,3729990000,2599999999,999999999,0,2.26027E+11,1.5E+11,36000000010,2.06754E+11,1.37219E+11,1.24E+11,20000000010,10
33,4.7,8.3,4.5,4.767,2040,0.08,0.17,400000000,0.02,0.067,-0.083,0.15,0.094,0.05,0.017,-0.23,7E+11,5870000000,5340000000,4270000000,17000000000,8200000000,3400000000,10800000000,1360000000,8000000000,1,7E+11,9.45929E+12,4400000000,5340000000,1820000,8000000000,1,546016990.7,10000000000,1360000000,398400000,4.38635E+11,114416.9297,1532.947672,639.0004352,0,799999999,0,0,0,0,0,0,0,1619999999,0,0,6866589485,0,0,0,0,2420000000,1359999999,5339500000,7999990000,546016990,9999999999,0,27300000,2.354E+11,27200000010,86682961200,2.35556E+11,2730084963,1.12403E+11,10
34,10,4.433,0.5,0.7,2035,0.09,0.17,1000000000,-0.23,0,-0.017,0.117,0.083,-0.039,0.1,-0.108,1.1E+12,2430000000,5970000000,11410000000,11000000000,5500000000,2200000000,8000000000,600000000,16000000000,1,1.1E+12,1.871E+13,2430000000,5970000000,4504880112,9140903715,1,2200000000,8000000000,600000000,1000000000,4.90545E+11,181776.8003,3450.366359,1400.349643,0,450000000,599999999,0,569110479,0,0,0,4503060112,450000000,599999999,5969500000,3970488026,0,7999999999,0,4503060112,450000000,599999999,5969500000,9140893715,2199999999,7999999999,0,1.67343E+11,1.7595E+11,45000000010,1.91907E+11,2.028E+11,22000000010,2.95E+11,10
35,10,2.5,0.5,6.8,2045,0.09,0.17,500000000,-0.202,0.033,-0.017,0.15,0.05,-0.05,0,-0.034,1.1E+12,2430000000,930000000,5460000000,6500000000,6400000000,2200000000,9400000000,790000000,20000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10,4.433,12.5,0.7,2035,0.09,0.105,700000000,-0.091,0.05,-0.083,0.072,0.083,0.006,0,-0.181,8E+11,2000000000,5970000000,3080000000,17000000000,4600000000,2000000000,2400000000,1740000000,8000000000,1,8E+11,1.39759E+13,2000000000,5970000000,2499999999,7142903716,1,2000000000,2400000000,1740000000,474399999.9,4.90545E+11,101770.8022,4813.39889,1453.01669,0,20000000,1739999999,0,0,0,0,0,1641083715,20000000,1739999999,5969500000,4517053215,0,191925895,0,2498179999,20000000,1739999999,5969500000,7142893716,1999999999,2399999999,0,50027299980,1.5E+11,1.218E+11,2.16607E+11,1.8539E+11,26255908182,49919258969,10
37,8.233,4.433,12.5,4.767,2035,0.07,0.04,800000000,-0.147,-0.033,-0.017,0.094,0.117,0.006,0.033,-0.206,9E+11,2000000000,1560000000,4270000000,11000000000,9100000000,3200000000,2400000000,1740000000,12000000000,1,9E+11,1.79231E+13,2000000000,1560000000,4270000000,7730000000,1,1842170360,2400000000,1740000000,355634000,4.90545E+11,213154.3447,4653.454611,1644.766745,4268180000,20000000,1739999999,390615151,691255290,0,0,0,4268180000,20000000,1739999999,1559500000,4113212714,0,2399999999,0,4268180000,20000000,1739999999,1559500000,7729990000,1842170359,2399999999,0,2.43727E+11,1.502E+11,1.305E+11,72163075757,2.06919E+11,14268940523,82221459797,10
38,8.233,8.3,12.5,0.7,2030,0.07,0.17,700000000,-0.23,0.083,-0.017,0.094,0.061,0.028,0.017,-0.132,1E+12,4150000000,2820000000,9030000000,6500000000,8200000000,2800000000,3800000000,1740000000,20000000000,1,1E+12,1.64101E+13,4150000000,2820000000,2293867018,6500000000,1,2800000000,3800000000,1740000000,700000000,4.55873E+11,184049.304,4338.491013,1436.868537,0,1599999999,1739999999,0,1105670062,0,0,0,2292047018,2170000000,1739999999,2819500000,6499990000,306046587,3799999999,0,2292047018,2170000000,1739999999,2819500000,6499990000,2799999999,3799999999,0,89645816836,2.7315E+11,1.305E+11,1.00308E+11,2.34828E+11,49559558504,1.22009E+11,10
39,4.7,6.367,12.5,2.733,2045,0.08,0.105,1000000000,-0.202,-0.017,0.083,0.05,0.061,-0.05,0.05,-0.132,8E+11,3290000000,2820000000,11410000000,8000000000,9100000000,3400000000,3800000000,980000000,20000000000,1,8E+11,1.14723E+13,3290000000,2820000000,7111122020,8000000000,1,1,3800000000,980000000,1000000000,2.39927E+11,242645.2022,3017.713768,1357.605503,0,766652349,979999999,0,0,0,0,0,7109302020,1310000000,979999999,319500000,2499989999,0,0,0,7109302020,1310000000,979999999,2819500000,7999990000,0,3799999999,0,2.43431E+11,2.12316E+11,58800000010,58007500000,1.55E+11,10,72445563260,10
40,10,2.5,8.5,2.733,2045,0.09,0.105,400000000,-0.23,0.1,0.15,0.117,0.128,0.05,-0.017,-0.059,1E+12,3290000000,3450000000,9030000000,18500000000,9100000000,2800000000,13600000000,2120000000,20000000000,1,1E+12,1.93804E+13,3290000000,3450000000,2249727576,1372641976,1,2800000000,13600000000,2120000000,400000000,3.73476E+11,160565.4654,5366.289838,1651.723228,2247907576,1310000000,2119999999,840394631,131843313,0,0,0,2247907576,1310000000,2119999999,3449500000,569110479,127524435,6013330949,0,2247907576,1310000000,2119999999,3449500000,1372631976,2799999999,13599999999,0,78567436678,2.393E+11,1.59E+11,1.58916E+11,32022921914,20631056283,3.11562E+11,10
41,4.7,4.433,4.5,2.733,2040,0.09,0.04,400000000,-0.202,0.067,0.017,0.083,0.083,-0.028,0,-0.23,1.1E+12,4580000000,5340000000,4270000000,14000000000,4600000000,2800000000,5200000000,2310000000,4000000000,1,1.1E+12,2.28675E+13,4186666667,5340000000,3251592617,4000000000,1,2800000000,5200000000,2310000000,400000000,2.28058E+11,179947.0338,5728.850665,1863.882574,2999468220,1599999999,2309999999,2499499999,748397383,0,0,0,3249772617,2206666666,2309999999,5339500000,3999989997,0,4929753965,0,3249772617,2206666667,2309999999,5339500000,3999990000,2799999999,5199999999,0,84240115807,2.71933E+11,1.386E+11,2.51107E+11,1.37007E+11,50000000000,1.67112E+11,10
42,10,8.3,0.5,2.733,2035,0.07,0.04,200000000,-0.091,0.017,0.083,0.094,0.072,-0.017,0.067,-0.206,5E+11,4580000000,2820000000,5460000000,6500000000,2800000000,3600000000,13600000000,600000000,12000000000,1,5E+11,7.1111E+12,2007543542,2820000000,629998549.8,6248375499,1,1,13600000000,600000000,200000000,4.90545E+11,75120.22422,1048.959329,420.8489047,0,0,0,0,0,0,0,0,34192997,20000000,599999999,0,3500000001,0,0,0,628178550,27543542,599999999,2819500000,6248365499,0,13599999999,0,12719069091,1.39438E+11,24000000010,40707499995,1.45454E+11,10,1.37682E+11,10
43,10,8.3,0.5,6.8,2045,0.09,0.17,700000000,0.02,0,0.05,0.128,0.106,0.05,-0.05,-0.132,9E+11,5870000000,5340000000,7840000000,8000000000,4600000000,2000000000,8000000000,1550000000,16000000000,1,9E+11,1.53353E+13,4400000000,5340000000,2623293005,6689691837,1,2000000000,1,1550000000,700000000,3.39485E+11,199174.0435,4924.323437,1704.898372,2339136289,1599999999,1549999999,0,215834521,0,0,0,2621473005,2419999999,1549999999,5339500000,2089106287,1999999999,0,0,2621473005,2420000000,1549999999,5339500000,6689681837,1999999999,0,0,1.11673E+11,2.794E+11,1.1625E+11,1.97708E+11,1.2497E+11,70000000010,10.00001153,10
