future_id,Energy_DACCS,Energy_DOCCS,Energy_EW,Energy_OA,EnergyL,Land_A/R,Land_BECCS,LandL,ER_A/R,ER_BC,ER_BECCS,ER_DACCS,ER_DOCCS,ER_EW,ER_OA,ER_SCS,CDRRequired,Ymax_A/R,Ymax_BC,Ymax_BECCS,Ymax_DACCS,Ymax_DOCCS,Ymax_EW,Ymax_OA,Ymax_SCS,GeoSt,Solved,Removals,Costs,A/R,BC,BECCS,DACCS,DOCCS,EW,OA,SCS,Land,Energy,Water,Nitrogen,Phosphorous,BECCS_2050,A/R_2050,SCS_2050,BC_2050,DACCS_2050,EW_2050,OA_2050,DOCCS_2050,BECCS_2075,A/R_2075,SCS_2075,BC_2075,DACCS_2075,EW_2075,OA_2075,DOCCS_2075,BECCS_2100,A/R_2100,SCS_2100,BC_2100,DACCS_2100,EW_2100,OA_2100,DOCCS_2100,BECCS_removed,A/R_removed,SCS_removed,BC_removed,DACCS_removed,EW_removed,OA_removed,DOCCS_removed
1864,4.7,2.5,4.5,6.8,2045,0.07,0.105,700000000,-0.008,0.083,0.05,0.15,0.15,-0.017,-0.05,-0.01,7E+11,2430000000,3450000000,6650000000,5000000000,9100000000,2600000000,1000000000,1740000000,20000000000,1,7E+11,9.54682E+12,2430000000,3450000000,4789385132,5000000000,1,2600000000,1,1740000000,700000000,1.76E+11,183148.7315,3708.697905,1339.059653,0,400000000,1519999998,0,0,0,0,0,4787565132,450000000,1739999999,949500000,4657672951,0,0,0,4787565132,450000000,1739999999,3449500000,4999990000,2599999999,0,0,1.71698E+11,1.743E+11,99999999990,73757500000,1.54244E+11,26000000010,10,10
1865,10,4.433,0.5,4.767,2045,0.09,0.105,300000000,-0.063,0.017,-0.15,0.061,0.15,0.028,0.1,-0.108,7E+11,5870000000,300000000,1890000000,5000000000,1900000000,3400000000,5200000000,980000000,20000000000,1,7E+11,1.37106E+13,3333333333,300000000,1820000,4820681975,1,3400000000,5200000000,980000000,300000000,3.73476E+11,115174.2571,1966.729324,657.5156589,0,1353333333,979999999,299500000,0,2750687931,164275484,0,0,1353333333,979999999,299500000,0,3399999999,4235612096,0,0,1353333333,979999999,299500000,4820671975,3399999999,5199999999,0,27300000,2.38474E+11,73500000010,15007500000,53160035301,1.66753E+11,1.53078E+11,10
1866,4.7,2.5,8.5,2.733,2035,0.07,0.04,800000000,-0.091,0.067,0.15,0.094,0.15,-0.017,-0.05,-0.132,6E+11,2860000000,3450000000,7840000000,8000000000,9100000000,3800000000,8000000000,1360000000,8000000000,1,6E+11,7.83114E+12,2860000000,3450000000,7840000000,160000000,1,1,1,1360000000,514728000,3760000000,245080.0954,3514.548188,1492.06975,0,371858571,1359999999,0,0,0,0,0,7838180000,880000000,1359999999,0,159990000,0,0,0,7838180000,880000000,1359999999,3449500000,159990000,0,0,0,2.71027E+11,1.85915E+11,74800000010,64257499995,4000150000,10,10,10
1867,6.467,8.3,4.5,4.767,2045,0.09,0.105,300000000,-0.23,0.083,-0.017,0.128,0.061,0.017,0.067,-0.181,1E+12,3290000000,2190000000,1890000000,8000000000,9100000000,3000000000,3800000000,1550000000,8000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,6.467,6.367,8.5,2.733,2030,0.09,0.17,900000000,-0.119,0.083,0.117,0.106,0.061,-0.05,0.1,-0.23,1E+12,2430000000,2820000000,1890000000,9500000000,3700000000,2000000000,9400000000,790000000,12000000000,1,1E+12,1.61243E+13,2430000000,2820000000,1890000000,9500000000,1,1292035510,9400000000,790000000,595100000,4.90545E+11,146610.8318,2394.33889,970.73169,1888180000,450000000,789999999,0,1407605013,0,0,0,1888180000,450000000,789999999,2819500000,5881983733,0,8035569416,0,1888180000,450000000,789999999,2819500000,9499990000,1292035509,9399999999,0,1.03977E+11,1.777E+11,43450000010,1.00308E+11,2.87839E+11,12920355105,2.73806E+11,10
1869,4.7,8.3,4.5,6.8,2045,0.09,0.17,400000000,-0.036,-0.033,-0.15,0.139,0.083,0.017,-0.05,-0.23,1.1E+12,2430000000,930000000,9030000000,12500000000,6400000000,3800000000,9400000000,2310000000,16000000000,0,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,4.7,2.5,4.5,0.7,2030,0.08,0.105,700000000,-0.091,0.067,0.05,0.061,0.05,0.039,-0.017,-0.01,9E+11,2860000000,5970000000,4270000000,12500000000,3700000000,2200000000,1000000000,1740000000,12000000000,1,9E+11,1.35405E+13,2860000000,5970000000,4073333333,8573333334,1,2200000000,1000000000,1740000000,700000000,2.54473E+11,181336.7299,4395.192622,1516.439744,0,800000000,1739999999,0,0,0,0,0,4071513333,880000000,1739999999,2900503331,7499990000,0,0,0,4071513333,880000000,1739999999,5969500000,8573323334,2199999999,999999999,0,1.45269E+11,2.012E+11,1.131E+11,1.33073E+11,2.43358E+11,44000000010,20000000010,10
1871,8.233,8.3,0.5,2.733,2045,0.08,0.04,1000000000,-0.063,0.05,-0.15,0.139,0.128,0.028,0.05,-0.181,9E+11,3290000000,5970000000,9030000000,5000000000,8200000000,2400000000,13600000000,1740000000,20000000000,1,9E+11,1.4038E+13,3290000000,5970000000,763349219.4,4412292249,1,2400000000,13600000000,1740000000,319325263.8,3.73476E+11,121924.5815,3871.649423,1217.254246,0,1290000000,1739999999,0,0,0,0,0,0,1310000000,1739999999,4999500000,1346619775,0,3953290252,0,761529219,1310000000,1739999999,5969500000,4412282249,2399999999,13599999999,0,15294284387,2.3415E+11,1.044E+11,1.56908E+11,68595137795,48000000010,2.72653E+11,10
1872,6.467,4.433,8.5,2.733,2035,0.07,0.04,900000000,-0.036,0,0.05,0.117,0.15,0.017,0.067,-0.132,1.1E+12,5010000000,3450000000,10220000000,15500000000,1000000000,3600000000,8000000000,600000000,12000000000,1,1.1E+12,1.63516E+13,4400000000,3450000000,7677664445,7015490588,1,3600000000,8000000000,600000000,612176124,4.89166E+11,291611.9317,2961.553368,1492.555652,0,1599999999,599999999,0,0,0,0,0,7675844445,2419999999,599999999,2499500000,5259609687,0,4131351783,0,7675844445,2420000000,599999999,3449500000,7015480588,3599999999,7999999999,0,2.72038E+11,2.794E+11,39000000010,81507500000,1.98013E+11,49385414085,1.80657E+11,10
1873,6.467,8.3,0.5,2.733,2050,0.07,0.04,400000000,-0.174,-0.017,-0.05,0.083,0.094,0.017,0.067,-0.157,4E+11,4150000000,5340000000,4270000000,15500000000,6400000000,2600000000,3800000000,1740000000,8000000000,1,4E+11,5.39516E+12,4150000000,500000,1820000,7005558209,1,1,3800000000,1740000000,331132237.6,2.78452E+11,92090.50957,1712.02139,541.47669,0,0,0,0,0,0,0,0,0,820000000,1739999999,0,1856413838,0,0,0,0,2170000000,1739999999,0,7005548209,0,3799999999,0,27300000,1.9015E+11,69600000010,7500000,1.21215E+11,10,19000000010,10
1874,6.467,4.433,12.5,2.733,2040,0.08,0.04,300000000,-0.147,0.067,-0.15,0.139,0.128,-0.05,0.1,-0.01,4E+11,2860000000,4080000000,700000000,17000000000,2800000000,3600000000,5200000000,600000000,16000000000,1,4E+11,4.96448E+12,2843750000,500000,1820000,12500000000,1,1,574478266.4,600000000,300000000,4.12038E+11,70255.03578,730.8245152,294.20169,0,0,0,0,0,0,0,0,0,20000000,599999999,0,4050196345,0,0,0,0,863750000,599999999,0,12499990000,0,574478265,0,27300000,1.43838E+11,27000000010,7500000,2.26255E+11,10,2872391342,10
